Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TP","Crops and livestock products","159","Nigeria","5610","Import Quantity","56","Maize","2008","2008","tonnes","49","","Official data"
"TP","Crops and livestock products","159","Nigeria","5610","Import Quantity","56","Maize","2009","2009","tonnes","100","F","FAO estimate"
"TP","Crops and livestock products","159","Nigeria","5610","Import Quantity","56","Maize","2010","2010","tonnes","550","R","Estimated data using trading partners database"
"TP","Crops and livestock products","159","Nigeria","5610","Import Quantity","56","Maize","2011","2011","tonnes","812","R","Estimated data using trading partners database"
"TP","Crops and livestock products","159","Nigeria","5610","Import Quantity","56","Maize","2012","2012","tonnes","1000","F","FAO estimate"
"TP","Crops and livestock products","159","Nigeria","5610","Import Quantity","56","Maize","2013","2013","tonnes","1200","F","FAO estimate"
"TP","Crops and livestock products","159","Nigeria","5610","Import Quantity","56","Maize","2014","2014","tonnes","209583","R","Estimated data using trading partners database"
"TP","Crops and livestock products","159","Nigeria","5610","Import Quantity","56","Maize","2015","2015","tonnes","76025","R","Estimated data using trading partners database"
"TP","Crops and livestock products","159","Nigeria","5610","Import Quantity","56","Maize","2016","2016","tonnes","215189","R","Estimated data using trading partners database"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","1961","1961","tonnes","100","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","1962","1962","tonnes","1100","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","1963","1963","tonnes","1400","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","1964","1964","tonnes","115","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","1965","1965","tonnes","61","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","1966","1966","tonnes","271320","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","1967","1967","tonnes","26851","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","1968","1968","tonnes","104","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","1969","1969","tonnes","311542","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","1970","1970","tonnes","200271","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","1971","1971","tonnes","825","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","1972","1972","tonnes","1539","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","1973","1973","tonnes","1892","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","1974","1974","tonnes","2357","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","1975","1975","tonnes","3659","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","1976","1976","tonnes","26938","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","1977","1977","tonnes","80658","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","1978","1978","tonnes","3890","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","1979","1979","tonnes","4589","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","1980","1980","tonnes","4685","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","1981","1981","tonnes","3268","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","1982","1982","tonnes","1283","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","1983","1983","tonnes","1276746","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","1984","1984","tonnes","2673665","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","1985","1985","tonnes","420531","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","1986","1986","tonnes","209414","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","1987","1987","tonnes","92266","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","1988","1988","tonnes","33108","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","1989","1989","tonnes","2377","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","1990","1990","tonnes","3438","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","1991","1991","tonnes","150393","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","1992","1992","tonnes","3594870","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","1993","1993","tonnes","830242","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","1994","1994","tonnes","29760","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","1995","1995","tonnes","750177","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","1996","1996","tonnes","506760","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","1997","1997","tonnes","252704","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","1998","1998","tonnes","128682","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","1999","1999","tonnes","376681","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","2000","2000","tonnes","251012","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","2001","2001","tonnes","109285","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","2002","2002","tonnes","1043661","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","2003","2003","tonnes","499070","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","2004","2004","tonnes","596430","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","2005","2005","tonnes","81168","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","2006","2006","tonnes","1043749","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","2007","2007","tonnes","1234173","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","2008","2008","tonnes","102679","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","2009","2009","tonnes","30734","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","2010","2010","tonnes","29093","*","Unofficial figure"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","2011","2011","tonnes","87508","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","2012","2012","tonnes","238710","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","2013","2013","tonnes","40311","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","2014","2014","tonnes","86570","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","2015","2015","tonnes","697315","","Official data"
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","56","Maize","2016","2016","tonnes","3268718","","Official data"
